Dia;Susceptibles;Infectados;Recuperados
1;7149539.0;1.0;0.0
2;7149538.75168133;0.3648273588244879;0.8834913109941788
3;7149538.224517488;0.3743827217939687;1.4010997888107706
4;7149536.583652016;1.0806500913238233;2.335697891616513
5;7149523.715753079;8.77392980976228;7.510317111386801
6;7149245.359897228;200.3641392674414;94.27596350550266
7;7132283.748809409;12829.331600458043;4426.919590136273
8;5133627.451109446;1501426.0323750675;514486.51651549235
9;253427.70345951628;2156916.279905264;4739196.016635227
10;60055.70688498545;540169.311427618;6549314.981687403
11;40820.11700352037;125444.41116530808;6983275.471831181
12;36979.92567223551;28927.28525143751;7083632.789076337
13;36067.20500284092;6685.461088986071;7106787.3339081835
14;35840.93164914719;1551.8887097134839;7112147.179641149
15;35784.28066151329;362.02943072781824;7113393.689907771
16;35770.06335768483;84.88849320003511;7113685.048149126
17;35766.49166227705;20.007543977409956;7113753.500793755
18;35765.59337489579;4.740058645697256;7113769.666566468
19;35765.36711851112;1.1288077144529018;7113773.5040737875
20;35765.3100234783;0.27021092343073816;7113774.419765612
21;35765.29558382087;0.06501785267280348;7113774.63939834
22;35765.29192277384;0.015725672036605028;7113774.692351568
23;35765.29099197799;0.003823249182001862;7113774.705184786
24;35765.2907546221;0.0009343345806711375;7113774.708311058
25;35765.290693903116;0.00022951879226713087;7113774.709076592
26;35765.290678318306;5.667318122272606e-05;7113774.7092650235
27;35765.29067430416;1.4066699066695577e-05;7113774.709311643
28;35765.290673266354;3.5081556304243384e-06;7113774.70932324
29;35765.29067299739;8.815142412808394e-07;7113774.709326137
30;35765.29067292698;2.2087077642106863e-07;7113774.709326867
31;35765.29067290886;5.6819904399308673e-08;7113774.70932705
32;35765.29067290409;1.536804414467876e-08;7113774.709327096
33;35765.29067290276;4.110976948167179e-09;7113774.709327109
34;35765.29067290239;1.108693118016433e-09;7113774.709327112
35;35765.29067290225;1.7357540016487862e-11;7113774.709327113
36;35765.29067290219;-4.904735287735727e-10;7113774.709327113
37;35765.29067290221;-3.9534344933134557e-10;7113774.709327113
38;35765.290672902185;-4.05485152352658e-10;7113774.709327113
39;35765.29067290219;-2.1407945501535446e-10;7113774.709327113
40;35765.29067290218;-1.3577087959387224e-10;7113774.709327113
41;35765.290672902156;-5.7462304172390004e-11;7113774.709327113
42;35765.290672902156;-3.919764048970186e-11;7113774.709327113
43;35765.290672902156;-3.745328715201193e-11;7113774.709327113
44;35765.290672902156;-3.570893381432201e-11;7113774.709327113
45;35765.290672902156;-3.396458047663209e-11;7113774.709327113
46;35765.290672902156;-3.222022713894217e-11;7113774.709327113
47;35765.290672902156;-3.047587380125224e-11;7113774.709327113
48;35765.290672902156;-2.873152046356231e-11;7113774.709327113
49;35765.290672902156;-2.6987167125872382e-11;7113774.709327113
50;35765.290672902156;-2.5242813788182456e-11;7113774.709327113
51;35765.290672902156;-2.349846045049253e-11;7113774.709327113
52;35765.290672902156;-2.1754107112802602e-11;7113774.709327113
53;35765.290672902156;-2.0009753775112672e-11;7113774.709327113
54;35765.290672902156;-1.826540043742276e-11;7113774.709327113
55;35765.290672902156;-1.6521047099732832e-11;7113774.709327113
56;35765.29067290216;-1.4776693762042902e-11;7113774.709327113
57;35765.29067290216;-1.3032340424352977e-11;7113774.709327113
58;35765.29067290216;-1.1287987086663049e-11;7113774.709327113
59;35765.29067290216;-9.543633748973122e-12;7113774.709327113
60;35765.29067290216;-7.799280411283196e-12;7113774.709327113
