5	23.39
6	22.97
12	36.48
16	40.78
25	22.93
31	26.33
44	27.34
48	23.66
52	22.52
53	22.39
54	21.79
55	25.88
62	42.8
63	43.54
66	33.01
74	23.46
75	23.25
82	29.95
95	24.66
99	22.82
104	27.98
106	33.45
109	36.93
114	29.11
117	24.72
118	23.76
127	24.19
128	28.83
135	40.78
137	34.3
138	32.13
139	29.54
148	22.62
156	38.97
159	43.67
163	31.29
168	24.89
170	23.47
172	22.82
181	43.21
187	30.25
189	27.5
192	25.25
196	24.08
198	23.3
218	22.06
228	36.18
229	38.84
241	23.85
265	24.81
273	33.01
280	41.41
281	39.44
282	33.79
291	23.23
292	22.87
297	32.56
299	35.67
303	41.63
306	34.49
322	34.7
323	36.44
324	37.77
325	41.47
327	44.85
328	42.31
331	31.11
339	23.46
346	36.78
351	44.24
354	33.9
357	26.74
360	25.11
362	24.32
370	29.21
373	34.87
380	23.89
385	21.99
394	34.33
397	38.74
399	33.78
407	23.11
416	28.84
428	23.37
431	22.66
433	22.35
448	36.33
454	25.17
466	23.52
468	27.25
470	29.64
475	23.44
487	23.41
489	32.2
491	33.28
499	26.84
504	24.54
508	23.69
509	23.66
520	34.27
521	32.1
533	23.08
535	22.39
538	27.4
541	33.18
546	29.27
548	25.22
552	23.77
556	22.43
563	29.84
567	31.76
571	24.68
574	23.02
578	23.97
582	21.54
587	33.26
591	38.03
599	23.83
605	23.57
613	36.57
614	37.52
615	38.67
622	24.76
626	22.57
628	23.27
630	23.17
631	24.53
632	27.31
638	36.64
640	35.56
654	23.01
661	34.09
669	25.66
673	25.01
676	24.1
678	24.02
684	34.16
686	32.14
693	25.63
697	23.04
